,응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값
253,53335878,20230904,F,60,경기도,4.0,3,4,3,3,3,3,3,3,3,3,4,3
254,188346,20230904,F,60,경기도,1.0,2,2,2,2,3,3,4,5,5,5,4,3
255,53350289,20230904,F,60,경기도,3.0,1,1,2,2,3,3,3,3,3,4,2,3
256,53347534,20230904,F,60,경기도,3.0,1,3,1,1,1,3,3,1,1,1,1,3
257,53324670,20230904,F,50,서울특별시,3.0,1,3,1,1,2,1,5,3,5,5,1,5
258,53363641,20230904,F,50,서울특별시,4.0,1,5,3,3,3,4,3,5,4,4,4,1
259,53358447,20230904,F,50,경기도,2.0,1,1,2,4,2,2,2,4,3,2,2,2
260,53345835,20230904,F,50,경기도,4.0,3,3,3,3,3,4,3,5,5,4,3,3
261,53353633,20230904,F,50,경기도,4.0,3,4,3,3,3,4,4,5,5,5,4,3
262,53350343,20230904,F,50,경기도,3.0,2,3,3,3,1,3,2,3,3,3,3,1
263,53353723,20230904,F,50,경기도,4.0,1,2,3,3,1,3,3,5,5,5,4,1
264,53334018,20230904,F,50,경기도,4.0,1,5,4,3,2,5,1,5,5,4,3,1
265,53349845,20230904,F,50,경기도,4.0,3,5,4,3,4,3,4,4,4,4,4,2
266,53342896,20230904,F,50,경기도,2.0,1,5,1,4,2,4,2,3,3,3,3,1
267,53356514,20230904,F,50,경기도,1.0,3,3,3,3,3,3,3,3,3,3,3,3
268,53328533,20230904,F,50,경기도,4.0,3,3,4,3,3,3,3,3,4,3,3,3
269,53353894,20230904,F,50,경기도,1.0,2,1,1,2,4,3,3,3,4,4,3,2
270,53369814,20230904,F,50,경기도,3.0,2,1,3,3,4,3,4,4,4,4,4,3
271,53326908,20230904,F,50,광주광역시,2.0,4,5,4,5,5,3,4,4,5,5,5,3
272,53332590,20230904,F,50,경상북도,4.0,1,1,1,1,1,1,1,1,1,1,1,1
273,53375578,20230904,F,40,서울특별시,2.0,1,4,5,4,4,5,5,5,5,5,5,3
274,53374893,20230904,F,40,서울특별시,1.0,1,3,3,4,2,4,3,4,3,3,4,3
275,53372899,20230904,F,40,서울특별시,1.0,3,4,3,3,3,3,3,3,3,3,2,2
276,53375924,20230904,F,40,서울특별시,4.0,4,4,1,5,4,3,5,5,5,5,4,3
277,53323824,20230904,F,40,서울특별시,4.0,1,1,5,5,1,3,1,3,4,2,5,1
278,53340764,20230904,F,40,서울특별시,3.0,1,4,2,3,3,4,3,5,3,4,4,3
279,53341743,20230904,F,40,서울특별시,3.0,1,1,3,1,4,5,4,5,5,5,5,3
