,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값,군집
250,F,20,경기도,3,1,2,3,2,1,3,2,3,3,3,3,1,0
251,F,60,경기도,1,2,3,3,3,3,4,5,4,4,5,3,4,0
252,F,60,경기도,1,3,3,3,3,3,3,3,3,3,3,3,3,0
253,F,60,경기도,4,3,4,3,3,3,3,3,3,3,3,4,3,0
254,F,60,경기도,1,2,2,2,2,3,3,4,5,5,5,4,3,0
255,F,60,경기도,3,1,1,2,2,3,3,3,3,3,4,2,3,0
256,F,60,경기도,3,1,3,1,1,1,3,3,1,1,1,1,3,0
257,F,50,서울특별시,3,1,3,1,1,2,1,5,3,5,5,1,5,0
258,F,50,서울특별시,4,1,5,3,3,3,4,3,5,4,4,4,1,0
259,F,50,경기도,2,1,1,2,4,2,2,2,4,3,2,2,2,0
260,F,50,경기도,4,3,3,3,3,3,4,3,5,5,4,3,3,0
261,F,50,경기도,4,3,4,3,3,3,4,4,5,5,5,4,3,0
262,F,50,경기도,3,2,3,3,3,1,3,2,3,3,3,3,1,0
263,F,50,경기도,4,1,2,3,3,1,3,3,5,5,5,4,1,0
264,F,50,경기도,4,1,5,4,3,2,5,1,5,5,4,3,1,0
265,F,50,경기도,4,3,5,4,3,4,3,4,4,4,4,4,2,0
266,F,50,경기도,2,1,5,1,4,2,4,2,3,3,3,3,1,0
267,F,50,경기도,1,3,3,3,3,3,3,3,3,3,3,3,3,0
268,F,50,경기도,4,3,3,4,3,3,3,3,3,4,3,3,3,0
269,F,50,경기도,1,2,1,1,2,4,3,3,3,4,4,3,2,0
270,F,50,경기도,3,2,1,3,3,4,3,4,4,4,4,4,3,0
271,F,50,광주광역시,2,4,5,4,5,5,3,4,4,5,5,5,3,0
272,F,50,경상북도,4,1,1,1,1,1,1,1,1,1,1,1,1,0
273,F,40,서울특별시,2,1,4,5,4,4,5,5,5,5,5,5,3,3
274,F,40,서울특별시,1,1,3,3,4,2,4,3,4,3,3,4,3,3
275,F,40,서울특별시,1,3,4,3,3,3,3,3,3,3,3,2,2,3
276,F,40,서울특별시,4,4,4,1,5,4,3,5,5,5,5,4,3,0
277,F,40,서울특별시,4,1,1,5,5,1,3,1,3,4,2,5,1,0
278,F,40,서울특별시,3,1,4,2,3,3,4,3,5,3,4,4,3,4
279,F,40,서울특별시,3,1,1,3,1,4,5,4,5,5,5,5,3,4
280,F,40,충청북도,4,2,4,4,4,2,2,2,2,2,3,2,2,0
281,F,40,충청북도,4,1,1,4,3,1,2,1,2,1,1,2,1,0
282,F,30,경기도,1,3,3,3,3,3,1,3,3,3,3,3,1,0
283,F,30,경기도,3,2,1,2,5,5,3,1,3,3,1,4,1,0
284,F,30,경기도,3,2,3,4,5,2,3,3,4,4,3,4,2,0
285,F,30,경기도,3,1,5,3,5,3,4,3,3,3,3,4,3,0
286,F,30,경기도,2,2,1,3,2,1,5,3,4,5,5,4,4,3
287,F,30,충청남도(세종시 포함),2,2,3,3,1,1,3,1,4,4,3,4,1,3
288,F,30,충청남도(세종시 포함),3,1,3,3,2,3,3,2,3,3,2,4,2,3
289,F,30,충청남도(세종시 포함),2,3,4,3,4,3,3,3,3,3,3,3,3,3
290,F,30,전라북도,2,1,3,3,4,3,3,3,3,3,3,3,3,3
291,F,30,전라북도,4,1,3,3,3,1,3,1,4,3,3,4,1,0
292,F,20,서울특별시,2,1,1,3,4,2,2,3,4,4,5,4,2,3
293,F,20,서울특별시,4,1,1,1,1,1,1,4,5,4,5,5,5,0
294,F,20,서울특별시,1,3,4,3,5,3,3,2,2,2,2,4,3,3
295,F,20,서울특별시,3,1,5,4,3,4,3,3,4,4,4,4,3,1
296,F,20,서울특별시,3,3,5,5,4,4,5,4,4,5,5,5,1,1
297,M,60,경기도,3,3,3,3,3,2,4,3,4,2,3,3,3,1
298,M,60,경기도,4,2,5,2,5,2,3,2,3,2,2,3,2,0
299,M,60,경기도,1,1,5,2,3,2,3,2,5,4,5,4,2,1
300,M,60,경기도,1,4,3,2,5,3,3,3,2,3,2,3,2,1
301,M,60,강원도,3,2,2,2,4,2,2,3,2,2,2,3,2,1
302,M,50,서울특별시,2,2,3,3,4,2,2,2,2,2,3,3,2,1
303,M,50,서울특별시,2,3,3,3,4,2,3,2,4,3,3,3,2,1
304,M,50,서울특별시,4,3,3,3,3,4,3,4,4,4,4,3,3,0
305,M,50,서울특별시,3,2,4,2,3,2,4,2,4,5,5,4,4,1
306,M,50,서울특별시,3,2,2,2,3,2,2,2,2,1,2,2,1,1
307,M,50,서울특별시,4,1,5,1,5,4,5,5,3,3,4,5,1,0
308,M,50,대구광역시,3,1,1,1,1,1,2,1,1,1,1,1,1,1
309,M,50,대구광역시,4,3,2,3,4,5,5,4,5,5,5,4,3,0
310,M,40,경기도,1,1,2,2,4,1,2,1,4,2,4,4,1,2
311,M,40,경기도,2,3,3,3,5,1,3,1,3,1,3,4,1,2
312,M,40,경기도,3,2,3,4,3,3,3,3,4,3,4,3,3,2
313,M,40,경기도,4,1,1,2,2,3,4,3,4,4,3,4,1,2
314,M,40,경기도,4,2,3,3,4,1,4,3,4,3,3,3,3,2
315,M,40,경기도,1,2,3,1,5,3,4,3,3,3,2,3,2,2
316,M,40,경기도,4,3,3,3,4,3,3,3,4,4,4,3,3,2
317,M,40,경기도,2,1,1,1,3,1,1,1,1,1,1,3,1,2
318,M,40,충청북도,4,1,3,1,2,1,4,1,4,3,3,5,1,2
319,M,30,경기도,3,1,5,3,5,3,3,3,3,3,3,3,1,1
320,M,30,경기도,2,2,4,2,2,3,4,2,4,3,2,3,1,2
321,M,30,경기도,3,1,4,3,1,1,5,1,5,3,5,4,1,1
322,M,30,경기도,1,1,1,1,1,1,1,1,1,1,1,1,1,2
323,M,30,경기도,3,1,2,1,1,1,1,2,3,1,1,1,1,1
324,M,30,서울특별시,2,3,3,4,4,3,3,3,4,4,4,4,3,3
325,M,30,서울특별시,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,M,30,서울특별시,4,1,4,4,1,1,5,1,5,5,2,3,1,1
327,M,30,서울특별시,3,5,4,4,5,3,4,5,4,4,5,3,3,1
328,M,30,서울특별시,4,1,1,5,5,3,3,3,5,5,3,5,2,1
329,M,30,서울특별시,4,1,3,4,3,2,4,3,3,1,2,4,2,1
330,M,20,경기도,4,1,3,2,2,2,4,1,4,2,2,3,1,0
331,M,20,경기도,2,1,2,3,4,2,3,1,3,3,3,3,1,2
332,M,20,경기도,4,1,3,3,3,3,3,3,3,3,3,3,3,0
333,M,20,경기도,3,1,1,1,4,1,5,1,5,4,4,3,1,1
334,M,20,대전광역시,1,2,2,5,5,2,4,5,4,5,4,4,2,1
